"p1";"id1";"score1";"p2";"id2";"score2";"completed";"tournament";"first_to"
"Luffy";157946;2;"Sky";547786;3;1544988798;"Koopa Armada";3
"Ultimate";795203;3;"Maleson";964809;1;1544990176;"Koopa Armada";3
"Sosser";557695;1;"Ultimate";795203;3;1544991752;"Koopa Armada";3
"Luffy";157946;3;"Ultimate";795203;0;1544994683;"Koopa Armada";3
"Sky";547786;3;"Luffy";157946;0;1544994708;"Koopa Armada";3
"Maleson";964809;2;"Monad0";1000040;0;1548517207;"Smash Season Fest: Smash Heat";2
"Elias";229014;0;"Haxwei";1033803;2;1548517251;"Smash Season Fest: Smash Heat";2
"Burtão";172170;2;"Bach";1027411;0;1548517265;"Smash Season Fest: Smash Heat";2
"Mimok";172124;2;"Sully";172359;0;1548517294;"Smash Season Fest: Smash Heat";2
"BeBop";69497;0;"Vyse";557753;2;1548517311;"Smash Season Fest: Smash Heat";2
"Ditro";1027502;1;"Bent";1007151;2;1548517332;"Smash Season Fest: Smash Heat";2
"Amortax";533731;2;"Fakinha";847974;0;1548517342;"Smash Season Fest: Smash Heat";2
"LUGIA";1006692;2;"Thurler";773916;0;1548517353;"Smash Season Fest: Smash Heat";2
"Rates";1079734;0;"Ihmo";1022354;2;1548517394;"Smash Season Fest: Smash Heat";2
"Afro";37319;2;"Ozzy";1039795;0;1548517402;"Smash Season Fest: Smash Heat";2
"Dcay";1027531;0;"Naty";1034571;2;1548517411;"Smash Season Fest: Smash Heat";2
"LeoDT";945519;0;"Arch";1025873;2;1548517429;"Smash Season Fest: Smash Heat";2
"Simic";1021298;0;"Sky";547786;2;1548517478;"Smash Season Fest: Smash Heat";2
"RevoS";172173;1;"Mimok";172124;2;1548519373;"Smash Season Fest: Smash Heat";2
"Dr. Lemos";173825;0;"Sky";547786;2;1548519602;"Smash Season Fest: Smash Heat";2
"Gim";143935;0;"LUGIA";1006692;2;1548519633;"Smash Season Fest: Smash Heat";2
"Roboto";557806;2;"Ihmo";1022354;0;1548519646;"Smash Season Fest: Smash Heat";2
"Prime";539117;2;"Naty";1034571;0;1548519656;"Smash Season Fest: Smash Heat";2
"Fexta!";1000041;0;"Haxwei";1033803;2;1548519677;"Smash Season Fest: Smash Heat";2
"FR7";211496;0;"Ace";1006693;2;1548519685;"Smash Season Fest: Smash Heat";2
"Ultimate";795203;2;"Amortax";533731;0;1548520205;"Smash Season Fest: Smash Heat";2
"RndNess";1017077;2;"Jao";1022393;1;1548520407;"Smash Season Fest: Smash Heat";2
"Luma";792862;0;"Vyse";557753;2;1548520646;"Smash Season Fest: Smash Heat";2
"HeadBenzi";173373;1;"Afro";37319;2;1548520668;"Smash Season Fest: Smash Heat";2
"Roc~";547836;2;"RndNess";1017077;0;1548521310;"Smash Season Fest: Smash Heat";2
"Sabino";953008;2;"Ace";1006693;0;1548521554;"Smash Season Fest: Smash Heat";2
"Flamon";172363;1;"Arch";1025873;2;1548521573;"Smash Season Fest: Smash Heat";2
"Minus";1027475;1;"Maleson";964809;2;1548521774;"Smash Season Fest: Smash Heat";2
"Joaoarara";909133;2;"RoD";172230;0;1548522291;"Smash Season Fest: Smash Heat";2
"Pete";543371;0;"Burtão";172170;2;1548523034;"Smash Season Fest: Smash Heat";2
"S/Chance";949228;1;"Bent";1007151;2;1548523125;"Smash Season Fest: Smash Heat";2
"Ace";1006693;2;"Sully";172359;0;1548523167;"Smash Season Fest: Smash Heat";2
"Fexta!";1000041;2;"Simic";1021298;0;1548523213;"Smash Season Fest: Smash Heat";2
"RndNess";1017077;1;"BeBop";69497;2;1548523238;"Smash Season Fest: Smash Heat";2
"Naty";1034571;0;"Fakinha";847974;2;1548523395;"Smash Season Fest: Smash Heat";2
"HeadBenzi";173373;2;"Thurler";773916;0;1548523433;"Smash Season Fest: Smash Heat";2
"Ihmo";1022354;2;"Monad0";1000040;0;1548523993;"Smash Season Fest: Smash Heat";2
"Dr. Lemos";173825;1;"Elias";229014;2;1548524199;"Smash Season Fest: Smash Heat";2
"Minus";1027475;2;"Rates";1079734;0;1548524319;"Smash Season Fest: Smash Heat";2
"S/Chance";949228;2;"LeoDT";945519;0;1548524651;"Smash Season Fest: Smash Heat";2
"Gim";143935;2;"Ozzy";1039795;1;1548524749;"Smash Season Fest: Smash Heat";2
"RevoS";172173;2;"FR7";211496;0;1548525484;"Smash Season Fest: Smash Heat";2
"Roboto";557806;0;"Afro";37319;2;1548525513;"Smash Season Fest: Smash Heat";2
"Luma";792862;0;"Jao";1022393;2;1548525560;"Smash Season Fest: Smash Heat";2
"RoD";172230;2;"Bach";1027411;0;1548525678;"Smash Season Fest: Smash Heat";2
"Prime";539117;2;"Arch";1025873;1;1548526359;"Smash Season Fest: Smash Heat";2
"Roc~";547836;2;"Burtão";172170;1;1548529443;"Smash Season Fest: Smash Heat";2
"Sabino";953008;2;"Haxwei";1033803;1;1548529463;"Smash Season Fest: Smash Heat";2
"RevoS";172173;2;"Elias";229014;0;1548529541;"Smash Season Fest: Smash Heat";2
"Roboto";557806;2;"RevoS";172173;0;1548529556;"Smash Season Fest: Smash Heat";2
"Jao";1022393;2;"RoD";172230;0;1548529637;"Smash Season Fest: Smash Heat";2
"Amortax";533731;2;"S/Chance";949228;1;1548529654;"Smash Season Fest: Smash Heat";2
"Burtão";172170;0;"Amortax";533731;2;1548529678;"Smash Season Fest: Smash Heat";2
"Minus";1027475;2;"Gim";143935;1;1548529703;"Smash Season Fest: Smash Heat";2
"HeadBenzi";173373;2;"Ihmo";1022354;0;1548529712;"Smash Season Fest: Smash Heat";2
"Flamon";172363;0;"Fakinha";847974;2;1548529720;"Smash Season Fest: Smash Heat";2
"Pete";543371;0;"BeBop";69497;2;1548529726;"Smash Season Fest: Smash Heat";2
"Fexta!";1000041;2;"Ace";1006693;1;1548529734;"Smash Season Fest: Smash Heat";2
"Arch";1025873;2;"Jao";1022393;1;1548529753;"Smash Season Fest: Smash Heat";2
"Bent";1007151;1;"Ultimate";795203;2;1548529937;"Smash Season Fest: Smash Heat";2
"Sky";547786;2;"Mimok";172124;0;1548531156;"Smash Season Fest: Smash Heat";2
"Afro";37319;2;"Prime";539117;0;1548531633;"Smash Season Fest: Smash Heat";2
"LUGIA";1006692;2;"Maleson";964809;0;1548532401;"Smash Season Fest: Smash Heat";2
"Ultimate";795203;2;"LUGIA";1006692;1;1548532529;"Smash Season Fest: Smash Heat";2
"Arch";1025873;0;"Roboto";557806;2;1548532696;"Smash Season Fest: Smash Heat";2
"Haxwei";1033803;2;"Minus";1027475;1;1548532719;"Smash Season Fest: Smash Heat";2
"Haxwei";1033803;2;"Amortax";533731;0;1548532731;"Smash Season Fest: Smash Heat";2
"Mimok";172124;2;"HeadBenzi";173373;0;1548532754;"Smash Season Fest: Smash Heat";2
"Bent";1007151;2;"BeBop";69497;0;1548532766;"Smash Season Fest: Smash Heat";2
"Maleson";964809;2;"Fexta!";1000041;0;1548532778;"Smash Season Fest: Smash Heat";2
"Joaoarara";909133;2;"Vyse";557753;0;1548532803;"Smash Season Fest: Smash Heat";2
"Vyse";557753;2;"Fakinha";847974;1;1548532840;"Smash Season Fest: Smash Heat";2
"Vyse";557753;0;"Mimok";172124;2;1548532912;"Smash Season Fest: Smash Heat";2
"Sky";547786;2;"Joaoarara";909133;0;1548534183;"Smash Season Fest: Smash Heat";2
"Roc~";547836;2;"Sabino";953008;1;1548534229;"Smash Season Fest: Smash Heat";2
"Maleson";964809;0;"Bent";1007151;2;1548534345;"Smash Season Fest: Smash Heat";2
"Prime";539117;2;"Bent";1007151;0;1548534359;"Smash Season Fest: Smash Heat";2
"LUGIA";1006692;1;"Roboto";557806;2;1548536006;"Smash Season Fest: Smash Heat";2
"Joaoarara";909133;2;"Haxwei";1033803;1;1548536022;"Smash Season Fest: Smash Heat";2
"Sabino";953008;2;"Mimok";172124;1;1548536037;"Smash Season Fest: Smash Heat";2
"Sky";547786;3;"Ultimate";795203;1;1548541722;"Smash Season Fest: Smash Heat";3
"Afro";37319;2;"Roc~";547836;3;1548541734;"Smash Season Fest: Smash Heat";3
"Sky";547786;3;"Roc~";547836;0;1548541749;"Smash Season Fest: Smash Heat";3
"Prime";539117;0;"Sabino";953008;3;1548544005;"Smash Season Fest: Smash Heat";3
"Joaoarara";909133;0;"Roboto";557806;3;1548544073;"Smash Season Fest: Smash Heat";3
"Sabino";953008;0;"Roboto";557806;3;1548599972;"Smash Season Fest: Smash Heat";3
"Roc~";547836;1;"Roboto";557806;3;1548599993;"Smash Season Fest: Smash Heat";3
"Sky";547786;3;"Roboto";557806;1;1548600012;"Smash Season Fest: Smash Heat";3
"HeadBenzi";173373;2;"Arch";1079028;0;1550936686;"Smash Heat 2";2
"Afro";37319;0;"LeoDT";945519;2;1550936756;"Smash Heat 2";2
"RevoS";172173;2;"LUGIA";999237;0;1550936935;"Smash Heat 2";2
"Roboto";557806;2;"Bent";1007151;0;1550937044;"Smash Heat 2";2
"Ultimate";795203;2;"Simic";1021298;1;1550937320;"Smash Heat 2";2
"BeBop";69497;2;"Gim";143935;0;1550937727;"Smash Heat 2";2
"Dr. Lemos";173825;2;"Oliveira";1078885;0;1550938046;"Smash Heat 2";2
"Mimok";172124;2;"Ace";1078883;1;1550938106;"Smash Heat 2";2
"RoD";172230;1;"Ozzy";563793;2;1550938235;"Smash Heat 2";2
"Roc~";547836;2;"Sully";172359;0;1550938578;"Smash Heat 2";2
"Sabino";953008;2;"Burtão";172170;0;1550939067;"Smash Heat 2";2
"ChaosPrime";621638;1;"Pete";543371;2;1550939187;"Smash Heat 2";2
"Amortax";533731;2;"Alonso";126587;0;1550939257;"Smash Heat 2";2
"Maleson";964809;2;"Lance";1072191;0;1550939653;"Smash Heat 2";2
"Ihmo";1071731;2;"JoJo Rama";173414;0;1550939805;"Smash Heat 2";2
"Fexta!";1000041;0;"Rates";521456;2;1550939829;"Smash Heat 2";2
"Afro";37319;1;"LUGIA";999237;2;1550940318;"Smash Heat 2";2
"Roboto";557806;2;"HeadBenzi";173373;0;1550940363;"Smash Heat 2";2
"Bent";1007151;2;"Arch";1079028;0;1550940504;"Smash Heat 2";2
"Simic";1021298;0;"Alonso";126587;2;1550940629;"Smash Heat 2";2
"Sully";172359;0;"Oliveira";1078885;2;1550941317;"Smash Heat 2";2
"LeoDT";945519;1;"RevoS";172173;2;1550941414;"Smash Heat 2";2
"Lance";1072191;1;"Ace";1078883;2;1550941441;"Smash Heat 2";2
"Gim";143935;2;"Fexta!";1000041;1;1550941799;"Smash Heat 2";2
"Ultimate";795203;0;"Amortax";533731;2;1550942211;"Smash Heat 2";2
"Pete";543371;0;"Ozzy";563793;2;1550942391;"Smash Heat 2";2
"ChaosPrime";621638;2;"RoD";172230;1;1550942411;"Smash Heat 2";2
"Burtão";172170;2;"JoJo Rama";173414;0;1550942489;"Smash Heat 2";2
"HeadBenzi";173373;2;"Ace";1078883;0;1550943344;"Smash Heat 2";2
"Maleson";964809;0;"Mimok";172124;2;1550943496;"Smash Heat 2";2
"BeBop";69497;2;"Rates";521456;0;1550943591;"Smash Heat 2";2
"Roc~";547836;1;"Dr. Lemos";173825;2;1550943641;"Smash Heat 2";2
"Sabino";953008;2;"Ihmo";1071731;0;1550943856;"Smash Heat 2";2
"Pete";543371;0;"Alonso";126587;2;1550944163;"Smash Heat 2";2
"Rates";521456;0;"Oliveira";1078885;2;1550944220;"Smash Heat 2";2
"Ihmo";1071731;0;"LUGIA";999237;2;1550944395;"Smash Heat 2";2
"Roboto";557806;0;"RevoS";172173;2;1550944623;"Smash Heat 2";2
"Roc~";547836;2;"Gim";143935;0;1550944761;"Smash Heat 2";2
"Ultimate";795203;2;"ChaosPrime";621638;0;1550944963;"Smash Heat 2";2
"Maleson";964809;0;"Bent";1007151;2;1550945329;"Smash Heat 2";2
"Amortax";533731;0;"BeBop";69497;2;1550945439;"Smash Heat 2";2
"LeoDT";945519;2;"Burtão";172170;0;1550945493;"Smash Heat 2";2
"Oliveira";1078885;1;"Ultimate";795203;2;1550945889;"Smash Heat 2";2
"Dr. Lemos";173825;2;"Ozzy";563793;0;1550946227;"Smash Heat 2";2
"Alonso";126587;0;"Roc~";547836;2;1550946310;"Smash Heat 2";2
"Bent";1007151;2;"LUGIA";999237;1;1550946649;"Smash Heat 2";2
"LeoDT";945519;2;"HeadBenzi";173373;0;1550946678;"Smash Heat 2";2
"Sabino";953008;2;"Mimok";172124;0;1550947278;"Smash Heat 2";2
"Roboto";557806;2;"Roc~";547836;1;1550947403;"Smash Heat 2";2
"Ozzy";563793;0;"LeoDT";945519;2;1550947452;"Smash Heat 2";2
"Amortax";533731;0;"Bent";1007151;2;1550947634;"Smash Heat 2";2
"Mimok";172124;2;"Ultimate";795203;1;1550948195;"Smash Heat 2";2
"Bent";1007151;0;"Roboto";557806;3;1550949263;"Smash Heat 2";3
"Dr. Lemos";173825;1;"Sabino";953008;3;1550949751;"Smash Heat 2";3
"RevoS";172173;3;"BeBop";69497;0;1550950769;"Smash Heat 2";3
"Mimok";172124;3;"LeoDT";945519;1;1550950838;"Smash Heat 2";3
"RevoS";172173;3;"Sabino";953008;0;1550951774;"Smash Heat 2";3
"Dr. Lemos";173825;0;"Roboto";557806;3;1550952115;"Smash Heat 2";3
"BeBop";69497;3;"Mimok";172124;0;1550952783;"Smash Heat 2";3
"Roboto";557806;3;"BeBop";69497;1;1550954027;"Smash Heat 2";3
"Sabino";953008;1;"Roboto";557806;3;1550955182;"Smash Heat 2";3
"RevoS";172173;3;"Roboto";557806;0;1550956115;"Smash Heat 2";3
"Ozzy";563793;2;"Sandman";1082894;0;1552833095;"Smash N' Magic";2
"RoD";172230;0;"Unexpected";1089395;2;1552833195;"Smash N' Magic";2
"Drutar";512478;0;"Oliveira";1078885;2;1552833228;"Smash N' Magic";2
"Ryvius";1118463;0;"RndNess";1017077;2;1552833277;"Smash N' Magic";2
"MICK";981066;0;"LeoDT";945519;2;1552833298;"Smash N' Magic";2
"FR7";211496;1;"DJ";1118420;2;1552833556;"Smash N' Magic";2
"ChaosPrime";621638;2;"Arch";1099206;0;1552834222;"Smash N' Magic";2
"Gim";143935;2;"FritzThe2";1118462;0;1552834285;"Smash N' Magic";2
"Floko";558693;2;"Alonso";126587;0;1552834302;"Smash N' Magic";2
"Maleson";964809;2;"Considera";792807;0;1552834316;"Smash N' Magic";2
"Polon";1088153;2;"ippo";1118464;0;1552834331;"Smash N' Magic";2
"LUGIA";999237;2;"Kira";1120138;0;1552834697;"Smash N' Magic";2
"Pete";543371;1;"Raphael Vieitas";1107150;2;1552835008;"Smash N' Magic";2
"Simic";1021298;2;"FyFox";1071532;0;1552835144;"Smash N' Magic";2
"Owlogy";949477;0;"Inu";1095897;2;1552835155;"Smash N' Magic";2
"Ramon";1120137;0;"Haxwei";1033803;2;1552835357;"Smash N' Magic";2
"Vlory";1120139;1;"Snek";514381;2;1552835437;"Smash N' Magic";2
"S/Chance";1035192;2;"IzZI127";932613;0;1552835636;"Smash N' Magic";2
"Sky";547786;2;"Unexpected";1089395;0;1552836079;"Smash N' Magic";2
"Luffy";157946;2;"DJ";1118420;0;1552836092;"Smash N' Magic";2
"JoJo Rama";173414;0;"Dottori";1072342;2;1552836176;"Smash N' Magic";2
"Magician";1117652;0;"Ace";999215;2;1552836220;"Smash N' Magic";2
"Bach";1095786;1;"Ihmo";1071731;2;1552836262;"Smash N' Magic";2
"Decnop";1118043;0;"Naty";1092900;2;1552836313;"Smash N' Magic";2
"Bbrazils";1088168;1;"Vallcrist";1102056;2;1552836382;"Smash N' Magic";2
"Joaoarara";909133;0;"Oliveira";1078885;2;1552836416;"Smash N' Magic";2
"S/Chance";1035192;0;"Haxwei";1033803;2;1552836874;"Smash N' Magic";2
"Afro";37319;2;"ChaosPrime";621638;0;1552836923;"Smash N' Magic";2
"Magician";1117652;0;"Ryvius";1118463;2;1552836966;"Smash N' Magic";2
"JoJo Rama";173414;0;"Kira";1120138;2;1552836981;"Smash N' Magic";2
"Floko";558693;2;"Gim";143935;0;1552837162;"Smash N' Magic";2
"RevoS";172173;2;"Maleson";964809;0;1552837267;"Smash N' Magic";2
