"pre1";"p1";"score1";"pre2";"p2";"score2";"round";"tournament"
"141";"UF";"Ultimate";3;"BenQ";"BeBop";0;"Winners Quarter-Final";"Koopa Armada"
"142";;"Floko";0;;"gamer girl";3;"Winners Quarter-Final";"Koopa Armada"
"143";"UF";"Sabino";0;;"Sosser";3;"Winners Quarter-Final";"Koopa Armada"
"144";"FDP";"Luffy";3;;"Cyber Twilight";0;"Winners Quarter-Final";"Koopa Armada"
"145";;"Maleson";3;;"Cyber Twilight";0;"Losers Round 3";"Koopa Armada"
"146";"BenQ";"BeBop";3;"S6";"Abaca";2;"Losers Round 3";"Koopa Armada"
"147";"UF";"Ultimate";3;;"Maleson";1;"Losers Quarter-Final";"Koopa Armada"
"148";;"Sosser";3;"BenQ";"BeBop";2;"Losers Quarter-Final";"Koopa Armada"
"149";;"gamer girl";3;"UF";"Ultimate";0;"Winners Semi-Final";"Koopa Armada"
"150";"FDP";"Luffy";3;;"Sosser";0;"Winners Semi-Final";"Koopa Armada"
"151";;"Sosser";1;"UF";"Ultimate";3;"Losers Semi-Final";"Koopa Armada"
"152";"FDP";"Luffy";3;"UF";"Ultimate";0;"Losers Final";"Koopa Armada"
"153";"FDP";"Luffy";2;;"gamer girl";3;"Winners Final";"Koopa Armada"
"154";;"gamer girl";3;"FDP";"Luffy";0;"Grand Final";"Koopa Armada"
"155";"AD";"Elias";0;;"Haxwei";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"156";;"FR7";0;;"Ace";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"157";;"Burtao";2;;"Bach";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"158";;"RndNess";2;;"Jao";1;"Winners Round 1";"Smash Season Fest: Smash Heat"
"159";"BC";"LeoDT";0;;"Arch";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"160";;"Dcay";0;;"Naty";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"161";"AD";"Afro";2;;"Ozzy";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"162";;"Rates";0;;"Ihmo";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"163";"UF";"Maleson";2;;"Monad0";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"164";;"Lugia";2;;"Thurler";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"165";;"Amortaxx";2;;"Fakinha";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"166";;"Ditro";1;;"Bent";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"167";"BenQ";"BeBop";0;;"Vyse";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"168";;"Mimok";2;;"Sully";0;"Winners Round 1";"Smash Season Fest: Smash Heat"
"169";;"Simic";0;;"gamer girl";2;"Winners Round 1";"Smash Season Fest: Smash Heat"
"170";;"Dr. Lemos";1;"AD";"Elias";2;"Losers Round 1";"Smash Season Fest: Smash Heat"
"171";"BC";"RevoS";2;;"FR7";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"172";"BC";"RoD";2;;"Bach";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"173";"UF";"Luma";0;;"Jao";2;"Losers Round 1";"Smash Season Fest: Smash Heat"
"174";;"Sem chance";2;"BC";"LeoDT";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"175";"AD";"Gim";2;;"Ozzy";1;"Losers Round 1";"Smash Season Fest: Smash Heat"
"176";;"Minus";2;;"Rates";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"177";;"Ihmo";2;;"Monad0";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"178";"BC";"HeadBenzi";2;;"Thurler";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"179";;"Naty";0;;"Fakinha";2;"Losers Round 1";"Smash Season Fest: Smash Heat"
"180";;"RndNess";1;"BenQ";"BeBop";2;"Losers Round 1";"Smash Season Fest: Smash Heat"
"181";;"Ace";2;;"Sully";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"182";;"Thi Festa";2;;"Simic";0;"Losers Round 1";"Smash Season Fest: Smash Heat"
"183";"BC";"HeadBenzi";1;"AD";"Afro";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"184";;"Roboto";2;;"Ihmo";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"185";;"Minus";1;"UF";"Maleson";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"186";"AD";"Gim";0;;"Lugia";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"187";"UF";"Ultimate";2;;"Amortaxx";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"188";;"Sem chance";1;;"Bent";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"189";"UF";"Luma";0;;"Vyse";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"190";"DSadvogado";"Joaoarara";2;"BC";"RoD";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"191";"BC";"RevoS";1;;"Mimok";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"192";;"Dr. Lemos";0;;"gamer girl";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"193";;"Thi Festa";0;;"Haxwei";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"194";"UF";"Sabino";2;;"Ace";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"195";"AD";"Pete";0;;"Burtao";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"196";;"Roc~";2;;"RndNess";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"197";;"Flamon";1;;"Arch";2;"Winners Round 2";"Smash Season Fest: Smash Heat"
"198";"UF";"Prime";2;;"Naty";0;"Winners Round 2";"Smash Season Fest: Smash Heat"
"199";"BC";"RevoS";2;"AD";"Elias";0;"Losers Round 2";"Smash Season Fest: Smash Heat"
"200";;"Jao";2;"BC";"RoD";0;"Losers Round 2";"Smash Season Fest: Smash Heat"
"201";;"Amortaxx";2;;"Sem chance";1;"Losers Round 2";"Smash Season Fest: Smash Heat"
"202";;"Minus";2;"AD";"Gim";1;"Losers Round 2";"Smash Season Fest: Smash Heat"
"203";"BC";"HeadBenzi";2;;"Ihmo";0;"Losers Round 2";"Smash Season Fest: Smash Heat"
"204";;"Flamon";0;;"Fakinha";2;"Losers Round 2";"Smash Season Fest: Smash Heat"
"205";"AD";"Pete";0;"BenQ";"BeBop";2;"Losers Round 2";"Smash Season Fest: Smash Heat"
"206";;"Thi Festa";2;;"Ace";1;"Losers Round 2";"Smash Season Fest: Smash Heat"
"207";;"Roboto";2;"BC";"RevoS";0;"Losers Round 3";"Smash Season Fest: Smash Heat"
"208";;"Arch";2;;"Jao";1;"Losers Round 3";"Smash Season Fest: Smash Heat"
"209";;"Burtao";0;;"Amortaxx";2;"Losers Round 3";"Smash Season Fest: Smash Heat"
"210";;"Haxwei";2;;"Minus";1;"Losers Round 3";"Smash Season Fest: Smash Heat"
"211";;"Mimok";2;"BC";"HeadBenzi";0;"Losers Round 3";"Smash Season Fest: Smash Heat"
"212";;"Vyse";2;;"Fakinha";1;"Losers Round 3";"Smash Season Fest: Smash Heat"
"213";;"Bent";2;"BenQ";"BeBop";0;"Losers Round 3";"Smash Season Fest: Smash Heat"
"214";"UF";"Maleson";2;;"Thi Festa";0;"Losers Round 3";"Smash Season Fest: Smash Heat"
"215";"UF";"Sabino";2;;"Haxwei";1;"Winners Round 3";"Smash Season Fest: Smash Heat"
"216";;"Roc~";2;;"Burtao";1;"Winners Round 3";"Smash Season Fest: Smash Heat"
"217";"UF";"Prime";2;;"Arch";1;"Winners Round 3";"Smash Season Fest: Smash Heat"
"218";;"Roboto";0;"AD";"Afro";2;"Winners Round 3";"Smash Season Fest: Smash Heat"
"219";;"Lugia";2;"UF";"Maleson";0;"Winners Round 3";"Smash Season Fest: Smash Heat"
"220";;"Bent";1;"UF";"Ultimate";2;"Winners Round 3";"Smash Season Fest: Smash Heat"
"221";"DSadvogado";"Joaoarara";2;;"Vyse";0;"Winners Round 3";"Smash Season Fest: Smash Heat"
"222";;"gamer girl";2;;"Mimok";0;"Winners Round 3";"Smash Season Fest: Smash Heat"
"223";;"Arch";0;;"Roboto";2;"Losers Round 4";"Smash Season Fest: Smash Heat"
"224";;"Haxwei";2;;"Amortaxx";0;"Losers Round 4";"Smash Season Fest: Smash Heat"
"225";;"Vyse";0;;"Mimok";2;"Losers Round 4";"Smash Season Fest: Smash Heat"
"226";"UF";"Maleson";0;;"Bent";2;"Losers Round 4";"Smash Season Fest: Smash Heat"
"227";;"Lugia";1;;"Roboto";2;"Losers Round 5";"Smash Season Fest: Smash Heat"
"228";"DSadvogado";"Joaoarara";2;;"Haxwei";1;"Losers Round 5";"Smash Season Fest: Smash Heat"
"229";"UF";"Sabino";2;;"Mimok";1;"Losers Round 5";"Smash Season Fest: Smash Heat"
"230";"UF";"Prime";2;;"Bent";0;"Losers Round 5";"Smash Season Fest: Smash Heat"
"231";;"Roc~";2;"UF";"Sabino";1;"Winners Quarter-Final";"Smash Season Fest: Smash Heat"
"232";"AD";"Afro";2;"UF";"Prime";0;"Winners Quarter-Final";"Smash Season Fest: Smash Heat"
"233";"UF";"Ultimate";2;;"Lugia";1;"Winners Quarter-Final";"Smash Season Fest: Smash Heat"
"234";;"gamer girl";2;"DSadvogado";"Joaoarara";0;"Winners Quarter-Final";"Smash Season Fest: Smash Heat"
"235";"DSadvogado";"Joaoarara";0;;"Roboto";3;"Losers Round 6";"Smash Season Fest: Smash Heat"
"236";"UF";"Prime";0;"UF";"Sabino";3;"Losers Round 6";"Smash Season Fest: Smash Heat"
"237";"AD";"Afro";2;;"Roc~";3;"Winners Semi-Final";"Smash Season Fest: Smash Heat"
"238";;"gamer girl";3;"UF";"Ultimate";1;"Winners Semi-Final";"Smash Season Fest: Smash Heat"
"239";"UF";"Sabino";0;;"Roboto";3;"Losers Semi-Final";"Smash Season Fest: Smash Heat"
"240";;"Roc~";1;;"Roboto";3;"Losers Final";"Smash Season Fest: Smash Heat"
"241";;"gamer girl";3;;"Roc~";0;"Winners Final";"Smash Season Fest: Smash Heat"
"242";;"gamer girl";3;;"Roboto";1;"Grand Final";"Smash Season Fest: Smash Heat"
"243";;"Mimok";2;;"ace";1;"Winners Round 1";"Smash Heat 2"
"244";;"Maleson";2;"ROT";"Lance";0;"Winners Round 1";"Smash Heat 2"
"245";;"Ihmo";2;;"JoJo Rama";0;"Winners Round 1";"Smash Heat 2"
"246";"UF";"Sabino";2;"BC";"Burtao";0;"Winners Round 1";"Smash Heat 2"
"247";"BC";"RoD";1;;"Ozzy";2;"Winners Round 1";"Smash Heat 2"
"248";"UF";"ChaosPrime";1;"AD";"Pete";2;"Winners Round 1";"Smash Heat 2"
"249";;"Dr. Lemos";2;"UF";"Oliveira";0;"Winners Round 1";"Smash Heat 2"
"250";"BC";"Roc~";2;;"Sully";0;"Winners Round 1";"Smash Heat 2"
"251";"BC";"Thi Festa";0;;"Rates";2;"Winners Round 1";"Smash Heat 2"
"252";"BenQ";"BeBop";2;;"Gim";0;"Winners Round 1";"Smash Heat 2"
"253";"BC";"Amortaxx";2;;"Alonso";0;"Winners Round 1";"Smash Heat 2"
"254";"UF";"Ultimate";2;;"Simic";1;"Winners Round 1";"Smash Heat 2"
"255";"BC";"RevoS";2;;"LUGIA";0;"Winners Round 1";"Smash Heat 2"
"256";"AD";"Afro";0;"BC";"LeoDT";2;"Winners Round 1";"Smash Heat 2"
"257";"BC";"HeadBenzi";2;;"Arch";0;"Winners Round 1";"Smash Heat 2"
"258";"AD";"Roboto";2;;"Bent";0;"Winners Round 1";"Smash Heat 2"
"259";"ROT";"Lance";1;;"ace";2;"Losers Round 1";"Smash Heat 2"
"260";"BC";"Burtao";2;;"JoJo Rama";0;"Losers Round 1";"Smash Heat 2"
"261";"UF";"ChaosPrime";2;"BC";"RoD";1;"Losers Round 1";"Smash Heat 2"
"262";;"Sully";0;"UF";"Oliveira";2;"Losers Round 1";"Smash Heat 2"
"263";;"Gim";2;"BC";"Thi Festa";1;"Losers Round 1";"Smash Heat 2"
"264";;"Simic";0;;"Alonso";2;"Losers Round 1";"Smash Heat 2"
"265";"AD";"Afro";1;;"LUGIA";2;"Losers Round 1";"Smash Heat 2"
"266";;"Bent";2;;"Arch";0;"Losers Round 1";"Smash Heat 2"
"267";"BC";"HeadBenzi";2;;"ace";0;"Losers Round 2";"Smash Heat 2"
"268";"BC";"LeoDT";2;"BC";"Burtao";0;"Losers Round 2";"Smash Heat 2"
"269";"UF";"Ultimate";2;"UF";"ChaosPrime";0;"Losers Round 2";"Smash Heat 2"
"270";;"Rates";0;"UF";"Oliveira";2;"Losers Round 2";"Smash Heat 2"
"271";"BC";"Roc~";2;;"Gim";0;"Losers Round 2";"Smash Heat 2"
"272";"AD";"Pete";0;;"Alonso";2;"Losers Round 2";"Smash Heat 2"
"273";;"Ihmo";0;;"LUGIA";2;"Losers Round 2";"Smash Heat 2"
"274";;"Maleson";0;;"Bent";2;"Losers Round 2";"Smash Heat 2"
"275";;"Maleson";0;;"Mimok";2;"Winners Round 2";"Smash Heat 2"
"276";"UF";"Sabino";2;;"Ihmo";0;"Winners Round 2";"Smash Heat 2"
"277";"AD";"Pete";0;;"Ozzy";2;"Winners Round 2";"Smash Heat 2"
"278";"BC";"Roc~";1;;"Dr. Lemos";2;"Winners Round 2";"Smash Heat 2"
"279";"BenQ";"BeBop";2;;"Rates";0;"Winners Round 2";"Smash Heat 2"
"280";"UF";"Ultimate";0;"BC";"Amortaxx";2;"Winners Round 2";"Smash Heat 2"
"281";"BC";"LeoDT";1;"BC";"RevoS";2;"Winners Round 2";"Smash Heat 2"
"282";"AD";"Roboto";2;"BC";"HeadBenzi";0;"Winners Round 2";"Smash Heat 2"
"283";"BC";"LeoDT";2;"BC";"HeadBenzi";0;"Losers Round 3";"Smash Heat 2"
"284";"UF";"Oliveira";1;"UF";"Ultimate";2;"Losers Round 3";"Smash Heat 2"
"285";;"Alonso";0;"BC";"Roc~";2;"Losers Round 3";"Smash Heat 2"
"286";;"Bent";2;;"LUGIA";1;"Losers Round 3";"Smash Heat 2"
"287";;"Ozzy";0;"BC";"LeoDT";2;"Losers Round 4";"Smash Heat 2"
"288";;"Mimok";2;"UF";"Ultimate";1;"Losers Round 4";"Smash Heat 2"
"289";"AD";"Roboto";2;"BC";"Roc~";1;"Losers Round 4";"Smash Heat 2"
"290";"BC";"Amortaxx";0;;"Bent";2;"Losers Round 4";"Smash Heat 2"
"291";"BC";"Amortaxx";0;"BenQ";"BeBop";2;"Winners Quarter-Final";"Smash Heat 2"
"292";"AD";"Roboto";0;"BC";"RevoS";2;"Winners Quarter-Final";"Smash Heat 2"
"293";"UF";"Sabino";2;;"Mimok";0;"Winners Quarter-Final";"Smash Heat 2"
"294";;"Dr. Lemos";2;;"Ozzy";0;"Winners Quarter-Final";"Smash Heat 2"
"295";;"Mimok";3;"BC";"LeoDT";1;"Losers Round 5";"Smash Heat 2"
"296";;"Bent";0;"AD";"Roboto";3;"Losers Round 5";"Smash Heat 2"
"297";"BenQ";"BeBop";3;;"Mimok";0;"Losers Quarter-Final";"Smash Heat 2"
"298";;"Dr. Lemos";0;"AD";"Roboto";3;"Losers Quarter-Final";"Smash Heat 2"
