"player","elo","set_wins","total_sets","set_perc","game_wins","total_games","game_perc","tournaments","list_tournaments","old_elo","var_elo"
"Joaoarara",1565.49554456552,27,46,0.58695652173913,60,107,0.560747663551402,10,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition",1565.49554456552,0
"mysterE",1563.48554883885,16,26,0.615384615384615,41,72,0.569444444444444,5,"Smash N' Magic - 2nd Edition, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule",1563.48554883885,0
"Ihmo",1559.7471936739,22,41,0.536585365853659,52,99,0.525252525252525,10,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic, Twilight's Awakening, Fight in Rio for the Future, Battle Of Hyrule, Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, TwS - Forest Temple, Smash Season Fest: Falling Leaves",1544.5431150731,15.2040786007981
"Vyse",1557.99010026404,20,36,0.555555555555556,48,85,0.564705882352941,8,"Koopa Armada, Smash Season Fest: Smash Heat, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1",1557.99010026404,0
"Abaca",1556.92883049201,8,10,0.8,20,27,0.740740740740741,1,"Koopa Armada",1556.92883049201,0
"S/Chance",1556.46871072833,25,45,0.555555555555556,61,104,0.586538461538462,10,"Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition",1556.46871072833,0
"Chino",1549.05998353453,18,32,0.5625,42,78,0.538461538461538,7,"Smash N' Magic - 2nd Edition, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition, Try Hard Smash in Rio #2, Battle Of Hyrule",1549.05998353453,0
"Afro",1548.54205240468,34,57,0.596491228070175,79,140,0.564285714285714,12,"Koopa Armada, Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #2",1548.54205240468,0
"Maleson",1544.53011584891,37,65,0.569230769230769,85,153,0.555555555555556,14,"Koopa Armada, Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Twilight's Awakening, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, TwS - Forest Temple",1548.32872336025,-3.79860751133742
"Roc~",1540.48620144756,15,25,0.6,36,65,0.553846153846154,5,"Koopa Armada, Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic - 3rd Edition, Battle Of Hyrule",1540.48620144756,0
"Floko",1535.14228597351,18,30,0.6,39,72,0.541666666666667,7,"Koopa Armada, Smash N' Magic, Smash N' Magic - 2nd Edition, Fight in Rio for the Future, Battle Of Hyrule, Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1",1535.14228597351,0
"Anhanha",1530.18179395463,4,6,0.666666666666667,10,16,0.625,1,"Try Hard Smash in Rio #2",1530.18179395463,0
"Jab Air",1529.93937408591,5,7,0.714285714285714,13,20,0.65,1,"Koopa Armada",1529.93937408591,0
"Cyber Twilight",1528.13967420457,12,20,0.6,27,50,0.54,4,"Koopa Armada, Smash N' Magic, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition",1528.13967420457,0
"Bent",1527.64763172046,8,12,0.666666666666667,17,29,0.586206896551724,2,"Smash Season Fest: Smash Heat, Smash Heat 2",1527.64763172046,0
"Djudjo",1527.07830200096,7,11,0.636363636363636,14,24,0.583333333333333,2,"Smash N' Magic - 2nd Edition, Smash n' Magic - 5th Edition",1527.07830200096,0
"Naval",1525.96840079246,9,15,0.6,21,37,0.567567567567568,3,"Smash Heat 2, Smash N' Magic, Smash Season Fest: Falling Leaves",1525.96840079246,0
"Chaud",1523.38888297376,4,6,0.666666666666667,8,12,0.666666666666667,1,"Fight in Rio for the Future",1523.38888297376,0
"DJ",1522.91968615291,9,15,0.6,19,34,0.558823529411765,3,"Smash N' Magic, Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #2",1522.91968615291,0
"Elias",1521.83129802416,13,23,0.565217391304348,28,54,0.518518518518518,5,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Fight in Rio for the Future",1521.83129802416,0
"Janjão",1521.48417125986,4,6,0.666666666666667,9,15,0.6,1,"Fight in Rio for the Future",1521.48417125986,0
"João Lagoas",1520.47010918876,4,6,0.666666666666667,10,18,0.555555555555556,1,"Smash N' Magic - 2nd Edition",1520.47010918876,0
"Golfinho",1519.10450897817,5,7,0.714285714285714,10,16,0.625,1,"Smash N' Magic - 2nd Edition",1519.10450897817,0
