"p1","p2","sets","set_wins_p1","set_wins_p2","game_wins_p1","game_wins_p2","tournaments"
"Miguelindo","Naty",1,0,1,0,2,"Fight in Rio for the Future"
"Miguelindo","S/Chance",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Miguelindo","Strig",1,1,0,2,0,"Twilight's Awakening"
"Miguelindo","ThiFesta",1,1,0,2,0,"Twilight's Awakening"
"Miguelindo","Vyse",1,0,1,0,2,"Set Fire 3"
"Mimok","PROGETO",1,1,0,2,1,"Set Fire 3"
"Mimok","Proliel",1,1,0,2,0,"Try Hard Smash in Rio #1"
"Mimok","RitsuoFox",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Mimok","Sosser",1,0,1,0,2,"Twilight's Awakening"
"Mimok","Sully",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Mimok","ThiFesta",1,1,0,2,1,"Try Hard Smash in Rio #2"
"Mimok","Windfall",1,1,0,2,0,"Set Fire 3"
"minecraft","Thay",1,1,0,2,0,"Try Hard Smash in Rio #4"
"minecraft","ThiFesta",1,0,1,0,2,"Try Hard Smash in Rio #4"
"minecraft","Wizard_gizard",1,1,0,2,0,"Try Hard Smash in Rio #4"
"Mini Vegeta","Ultimate",1,0,1,0,2,"Battle Of Hyrule"
"MiniGoku","Patraozin",1,1,0,2,0,"Koopa Armada"
"MiniGoku","Prolo",1,1,0,2,0,"Koopa Armada"
"MiniGoku","Sosser",1,0,1,0,2,"Koopa Armada"
"Minus","Rates",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Monad0","RitsuoFox",1,0,1,0,2,"Koopa Armada"
"Moonflair","Ozzy",1,1,0,2,1,"Koopa Armada"
"Moonflair","Sully",1,1,0,2,0,"Koopa Armada"
"Moonflair","Thales",1,1,0,2,0,"Koopa Armada"
"Morkez","Ozzy",1,1,0,2,0,"TwS - Fire Temple"
"Morkez","Professor",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Morkez","Sky",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Morkez","Taunt",1,1,0,2,1,"TwS - Fire Temple"
"Morkez","Vyse",1,0,1,0,2,"Try Hard Smash in Rio #1"
"Muju","Naval",1,0,1,1,2,"Smash Season Fest: Falling Leaves"
"Muju","Sabino",1,0,1,1,2,"Smash Season Fest: Falling Leaves"
"mysterE","RevoS",1,0,1,0,2,"Battle Of Hyrule"
"mysterE","Roboto",1,0,1,1,3,"Smash N' Magic - 3rd Edition"
"mysterE","Sky",1,1,0,2,1,"Smash N' Magic - 3rd Edition"
"mysterE","Snek",1,1,0,2,0,"Fight in Rio for the Future"
"mysterE","Tuca",1,1,0,2,0,"Fight in Rio for the Future"
"mysterE","Vyse",1,1,0,2,1,"Twilight's Awakening"
"Najjar","Naty",1,0,1,0,2,"Battle Of Hyrule"
"Nalo","Wright",1,0,1,0,2,"Try Hard Smash in Rio #3"
"Naty","Ozzy",1,0,1,0,2,"Smash N' Magic"
"Naty","Prime",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"Naty","Shinomori",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Naty","Sky",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Naty","Ultimate",1,0,1,0,2,"Battle Of Hyrule"
"Naval","RevoS",1,0,1,1,2,"Smash Season Fest: Falling Leaves"
"Naval","S/Chance",1,1,0,3,0,"TORNEIO LEGAL"
"Naval","Sabino",1,1,0,3,0,"TORNEIO LEGAL"
"Naval","Sully",1,1,0,2,0,"Smash Heat 2"
"Naval","Ultimate",1,0,1,1,2,"Smash Heat 2"
"Naval","Wright",1,1,0,2,0,"TwS - Fire Temple"
"Nenfz","Ren",1,1,0,2,0,"Battle Of Hyrule"
"Neoob","Sully",1,0,1,1,2,"Koopa Armada"
"Neptune","RoD",1,0,1,0,2,"Koopa Armada"
"Neptune","Zord",1,0,1,0,2,"Koopa Armada"
"Nyer","Proliel",1,0,1,1,2,"Fight in Rio for the Future"
"Oops","Raphael Vieitas",1,1,0,2,0,"Smash N' Magic - 2nd Edition"
"Oops","RoD",1,0,1,0,2,"Try Hard Smash in Rio #2"
"Oops","Ultimate",1,0,1,0,2,"Try Hard Smash in Rio #2"
"Oops","Wright",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Owlogy","S/Chance",1,0,1,0,2,"Smash N' Magic"
"Owlogy","Wright",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Ozzy","Pete",1,1,0,2,0,"Smash Heat 2"
"Ozzy","Rhunii",1,1,0,2,1,"Smash n' Magic - 5th Edition"
"Ozzy","Sandman",1,1,0,2,0,"Smash N' Magic"
"Ozzy","Shivan",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Ozzy","Stormkid",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Ozzy","Sully",1,1,0,2,0,"Beer Reversal #12 - Primeiro de 2020!"
"Ozzy","Taunt",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Ozzy","test",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Ozzy","ThiFesta",1,1,0,2,0,"Try Hard Smash in Rio #3"
"Ozzy","Wizard_gizard",1,1,0,2,0,"Try Hard Smash in Rio #4"
"Ozzy","Wright",1,1,0,2,0,"Try Hard Smash in Rio #3"
"P.Vicious","Taunt",1,1,0,2,1,"Smash N' Magic - 3rd Edition"
"P.Vicious","test",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"Pete","Proliel",1,0,1,0,3,"TORNEIO LEGAL"
"Pete","Raphael Vieitas",1,0,1,1,2,"Smash N' Magic"
"Pete","Sonic Orochi",1,0,1,0,2,"Koopa Armada"
"Player 7","Roboto",1,1,0,2,0,"Fight in Rio for the Future"
"Polon","RevoS",1,0,1,0,2,"Smash N' Magic"
"Polon","Steel",1,1,0,2,0,"Battle Of Hyrule"
"Polon","Wright",1,1,0,2,1,"Battle Of Hyrule"
"Prime","Roboto",1,0,1,0,2,"Smash Season Fest: Falling Leaves"
"Prime","Sabino",1,0,1,0,3,"Smash Season Fest: Smash Heat"
"Professor","Roc~",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"PROGETO","RoD",1,1,0,2,0,"Try Hard Smash in Rio #5"
"PROGETO","ThiFesta",1,1,0,2,1,"Try Hard Smash in Rio #5"
"PROGETO","Ultimate",1,0,1,1,2,"Try Hard Smash in Rio #5"
"PROGETO","V-Hawk",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Proliel","RoD",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Proliel","S/Chance",1,0,1,2,3,"TORNEIO LEGAL"
"Proliel","Sully",1,1,0,2,0,"Set Fire 3"
"Prolo","RitsuoFox",1,0,1,1,2,"Koopa Armada"
"Quantumleaper NEO","Roboto",1,0,1,0,2,"Koopa Armada"
"Quantumleaper NEO","TROVS",1,1,0,2,0,"Koopa Armada"
"Rapha100","RoD",1,0,1,0,2,"Try Hard Smash in Rio #5"
"Rates","RevoS",1,0,1,1,2,"TwS - Forest Temple"
"Rates","ThiFesta",1,1,0,2,0,"Smash Heat 2"
"Rates","Wright",1,1,0,2,0,"TwS - Forest Temple"
"Ren","S/Chance",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"RevoS","RoD",1,1,0,2,0,"Beer Reversal #12 - Primeiro de 2020!"
"RevoS","S/Chance",1,1,0,2,1,"Smash Season Fest: Falling Leaves"
"RevoS","Taunt",1,1,0,2,0,"TwS - Fire Temple"
"RevoS","Thay",1,1,0,2,0,"Try Hard Smash in Rio #4"
"Rhunii","Roboto",1,0,1,0,2,"Fight in Rio for the Future"
"Rhunii","Sabino",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"RitsuoFox","Sabino",1,0,1,0,2,"Koopa Armada"
"RitsuoFox","Sky",1,0,1,2,3,"Fight in Rio for the Future"
"RitsuoFox","Snek",1,1,0,2,0,"Fight in Rio for the Future"
"RitsuoFox","Stiltzkin",1,1,0,2,0,"Fight in Rio for the Future"
"RitsuoFox","Vyse",1,1,0,2,1,"Try Hard Smash in Rio #1"
"RndNess","Roc~",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"RndNess","Ryvius",1,1,0,2,0,"Smash N' Magic"
"Roboto","Shivan",1,1,0,2,0,"Set Fire 3"
"Roboto","SKPeter",1,1,0,2,0,"Koopa Armada"
"Roboto","Sky",1,0,1,1,3,"Smash Season Fest: Smash Heat"
"Roboto","Vallcrist",1,1,0,2,0,"Smash N' Magic"
"Roboto","Vyse",1,1,0,2,1,"Set Fire 3"
"Roc~","Samurai do Lamen",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Roc~","Sully",1,1,0,2,0,"Smash Heat 2"
"RoD","S/Chance",1,0,1,0,2,"Twilight's Awakening"
"RoD","Sully",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"RoD","Unexpected",1,0,1,0,2,"Smash N' Magic"
"RoD","Vyse",1,0,1,0,2,"Try Hard Smash in Rio #4"
"RoD","Wright",1,1,0,2,0,"Beer Reversal #12 - Primeiro de 2020!"
"S/Chance","Sabino",1,0,1,1,3,"TORNEIO LEGAL"
"S/Chance","Simic",1,1,0,2,0,"Smash N' Magic"
"S/Chance","Sky",1,0,1,0,2,"Twilight's Awakening"
"S/Chance","Sully",1,1,0,2,1,"TwS - Fire Temple"
"S/Chance","Swiss",1,1,0,2,0,"Fight in Rio for the Future"
"S/Chance","Taunt",1,0,1,0,2,"TwS - Fire Temple"
"S/Chance","Ultimate",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"S/Chance","Vyse",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"S/Chance","Wright",1,1,0,2,1,"Set Fire 3"
"Sabino","Sky",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"Sabino","Wright",1,1,0,2,0,"Set Fire 3"
"SanDiego","Ultimate",1,0,1,0,2,"Try Hard Smash in Rio #3"
"Shinomori","Sky",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Shivan","Sully",1,0,1,0,2,"Try Hard Smash in Rio #5"
"Shivan","Wright",1,1,0,2,0,"TwS - Fire Temple"
"Simic","Snek",1,1,0,2,0,"Smash N' Magic"
"Simic","ThiFesta",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"SKPeter","Sky",1,0,1,0,2,"Koopa Armada"
"Sky","Steel",1,1,0,2,0,"Battle Of Hyrule"
"Sky","Thiago Neoob",1,1,0,2,0,"Koopa Armada"
"Sky","Unexpected",1,1,0,2,0,"Smash N' Magic"
"Snek","test",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"Snek","Vlory",1,1,0,2,1,"Smash N' Magic"
"Sonic Orochi","Sosser",1,0,1,0,2,"Koopa Armada"
"Sully","Ultimate",1,0,1,0,2,"Try Hard Smash in Rio #4"
"Sully","Vyse",1,0,1,0,2,"Koopa Armada"
"Sully","Wright",1,1,0,2,0,"Try Hard Smash in Rio #3"
"Swiss","Vyse",1,0,1,0,2,"Fight in Rio for the Future"
"Thay","ThiFesta",1,0,1,0,2,"Try Hard Smash in Rio #2"
"ThiFesta","Ultimate",1,0,1,0,2,"Koopa Armada"
